id,student_id,name,age,gender,is_smoker,weekday_sleep_time,weekday_wake_time,weekend_sleep_time,weekend_wake_time,goes_home_on_weekend,late_night_return_frequency,drinking_frequency,noise_sensitivity,call_frequency,snores,prefers_same_major,major_name,cleaning_frequency,personality_extroversion,weight_lifestyle_rhythm,weight_noise,weight_major,weight_cleaning,weight_age,weight_personality,is_matched,matched_room_id,created_at,updated_at,my_satisfaction_score,partner_satisfaction_score,cluster_id
e14bbf26-13f3-42c7-a7d7-e6321b9efb5b,24000052,송현우,23,male,false,00,09,00,10,false,3,2,3,4,false,false,자유전공학부,0,5,78,20,14,80,51,42,true,1,2025-12-23 10:38:48.741028 +00:00,2025-12-23 10:39:48.689887 +00:00,86.25257390305333,86.19248252546942,1
7439b331-886e-421d-ac9a-51be41b8ba4a,20000065,김시우,23,male,false,02,10,01,08,false,4,3,4,4,true,false,경영학부,0,4,94,83,22,96,86,71,true,1,2025-12-23 10:38:48.741028 +00:00,2025-12-23 10:39:48.689887 +00:00,86.19248252546942,86.25257390305333,1
07319ca8-f306-4d33-9693-db249b820282,20000080,이지후,25,male,false,02,09,22,09,false,7,3,2,6,true,false,경제학과,3,1,90,78,85,82,92,20,true,2,2025-12-23 10:38:48.741028 +00:00,2025-12-23 10:39:48.689887 +00:00,76.94196482681795,88.14843836110582,1
66042788-be84-4fb3-b0e5-8bd16ffa66c4,25000026,최지훈,25,male,false,01,06,22,07,false,5,3,2,7,true,false,정보보호학과,5,1,56,1,25,17,74,76,true,2,2025-12-23 10:38:48.741028 +00:00,2025-12-23 10:39:48.689887 +00:00,88.14843836110582,76.94196482681795,1
6da8b6df-67a0-4586-8813-e655bc211e25,20000001,나예준,22,male,false,01,07,02,09,false,6,2,5,1,false,false,자유전공학부,4,1,9,67,31,1,61,35,true,3,2025-12-23 10:38:48.741028 +00:00,2025-12-23 10:39:48.689887 +00:00,72.50962649210628,87.4335188620903,1
afb5717e-99c9-42fc-a519-798ae869fde0,23000008,이재윤,24,male,false,01,08,03,10,false,5,7,5,6,false,true,자유전공학부,3,1,0,71,23,95,7,15,true,3,2025-12-23 10:38:48.741028 +00:00,2025-12-23 10:39:48.689887 +00:00,87.4335188620903,72.50962649210628,1
10641f19-395c-4b56-bfb1-162bcd3685f5,17000056,김현우,27,male,false,02,10,02,10,false,3,0,4,7,false,false,컴퓨터공학과,6,2,75,10,93,2,42,88,true,4,2025-12-23 10:38:48.741028 +00:00,2025-12-23 10:39:48.689887 +00:00,82.37735849056605,70.6175773911623,1
393839e8-cbf2-4d8a-9cf7-43cf09e8aac7,22000022,김유준,28,male,false,02,10,03,08,false,1,7,4,5,true,true,컴퓨터공학과,7,3,92,65,65,14,68,96,true,4,2025-12-23 10:38:48.741028 +00:00,2025-12-23 10:39:48.689887 +00:00,70.6175773911623,82.37735849056605,1
245feb1c-2acb-421a-90ab-26494ba1686b,24000037,박유준,23,male,false,00,07,22,10,false,6,6,2,0,false,true,경제학과,7,5,55,33,77,79,64,44,true,5,2025-12-23 10:38:48.741028 +00:00,2025-12-23 10:39:48.689887 +00:00,86.81826272694909,84.16219604092397,1
816ee2b5-1d5a-4a70-b060-22eb83832586,20000008,송시우,24,male,false,02,06,01,09,false,3,2,3,3,false,true,경제학과,7,3,36,19,72,82,61,28,true,5,2025-12-23 10:38:48.741028 +00:00,2025-12-23 10:39:48.689887 +00:00,84.16219604092397,86.81826272694909,1
